transaction_id,source_system,source_row_number,ingested_at,last_modified_at,invoice_number,document_type,invoice_date,raw_supplier_name,raw_supplier_id,raw_line_description,original_amount,original_currency,base_amount,base_currency,fx_rate,gl_account,cost_centre,raw_payment_terms,payment_terms_days,po_number,business_unit,plant_site,canonical_supplier_id,canonical_supplier_name,canonical_supplier_confidence,parent_company_id,parent_company_name,category_l1,category_l2,category_l3,unspsc_code,category_confidence,category_method,spend_type,addressability,managed_status,is_credit_note,is_intercompany,is_tax_line,is_duplicate,review_status,reviewer,review_notes,review_date,raw_data,invoice_year,invoice_month,invoice_quarter,is_tail_spend
c56e9675-a443-4605-aa06-548fd01c452a,DEFAULT,0,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,INV-2024-001,INVOICE,2024-03-15,Officeworks Business Supplies,V-001,Office supplies - toner cartridges HP,340.5,AUD,340.5,AUD,1.0,6421,CC-ADM-01,Net 30,30.0,PO-9001,Corporate,Sydney,af08366e0ac6,Officeworks Business Supplies,1.0,,,Office Supplies,Print Consumables,,44,0.9,DETERMINISTIC_GL,,,,0,0,0,,,,,,"{""VENDOR_NAME"": ""Officeworks Business Supplies"", ""VENDOR_NUM"": ""V-001"", ""INV_NO"": ""INV-2024-001"", ""INV_DATE"": ""15/03/2024"", ""LINE_DESC"": ""Office supplies - toner cartridges HP"", ""AMT"": 340.5, ""CCY"": ""AUD"", ""GL_CODE"": 6421, ""COST_CTR"": ""CC-ADM-01"", ""PAY_TERMS"": ""Net 30"", ""PO_NUM"": ""PO-9001"", ""BUS_UNIT"": ""Corporate"", ""SITE"": ""Sydney""}",2024,2024-03,2024-Q1,True
bc49406f-0a7d-40e7-9ab6-e609d613620d,DEFAULT,1,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,INV-2024-002,INVOICE,2024-04-01,Sodexo Australia Pty Ltd,V-002,Catering - Q1 events,3200.0,AUD,3200.0,AUD,1.0,6512,CC-OPS-01,Net 30,30.0,PO-9002,Operations,Melbourne,64548bd5c853,Sodexo Australia Pty Ltd,1.0,,,Facilities,Catering,,50,0.9,DETERMINISTIC_GL,,,,0,0,0,,,,,,"{""VENDOR_NAME"": ""Sodexo Australia Pty Ltd"", ""VENDOR_NUM"": ""V-002"", ""INV_NO"": ""INV-2024-002"", ""INV_DATE"": ""01/04/2024"", ""LINE_DESC"": ""Catering - Q1 events"", ""AMT"": 3200.0, ""CCY"": ""AUD"", ""GL_CODE"": 6512, ""COST_CTR"": ""CC-OPS-01"", ""PAY_TERMS"": ""Net 30"", ""PO_NUM"": ""PO-9002"", ""BUS_UNIT"": ""Operations"", ""SITE"": ""Melbourne""}",2024,2024-04,2024-Q2,True
0ec10c4e-1616-4698-937d-bcd45ea76336,DEFAULT,2,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,INV-2024-003,INVOICE,2024-04-03,Compass Group Pty Ltd,V-003,Staff canteen March,1100.0,AUD,1100.0,AUD,1.0,6512,CC-OPS-02,Net 30,30.0,PO-9003,Operations,Brisbane,4ba5839dc24c,Compass Group Pty Ltd,1.0,,,Facilities,Catering,,50,0.9,DETERMINISTIC_GL,,,,0,0,0,,,,,,"{""VENDOR_NAME"": ""Compass Group Pty Ltd"", ""VENDOR_NUM"": ""V-003"", ""INV_NO"": ""INV-2024-003"", ""INV_DATE"": ""03/04/2024"", ""LINE_DESC"": ""Staff canteen March"", ""AMT"": 1100.0, ""CCY"": ""AUD"", ""GL_CODE"": 6512, ""COST_CTR"": ""CC-OPS-02"", ""PAY_TERMS"": ""Net 30"", ""PO_NUM"": ""PO-9003"", ""BUS_UNIT"": ""Operations"", ""SITE"": ""Brisbane""}",2024,2024-04,2024-Q2,True
3d7233ba-b0fe-433e-90bd-f8e7f2bad959,DEFAULT,3,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,INV-2024-004,INVOICE,2024-02-12,DHL Express Pty Ltd,V-004,International freight - Shanghai to Melb,8750.0,USD,13229.51,AUD,1.511944,6301,CC-LOG-01,Net 14,14.0,PO-9004,Operations,Sydney,38b99051ab67,Dhl Express Pty Ltd,1.0,,,Logistics,Freight,International Freight,78,0.9,DETERMINISTIC_GL,,,,0,0,0,,,,,,"{""VENDOR_NAME"": ""DHL Express Pty Ltd"", ""VENDOR_NUM"": ""V-004"", ""INV_NO"": ""INV-2024-004"", ""INV_DATE"": ""12/02/2024"", ""LINE_DESC"": ""International freight - Shanghai to Melb"", ""AMT"": 8750.0, ""CCY"": ""USD"", ""GL_CODE"": 6301, ""COST_CTR"": ""CC-LOG-01"", ""PAY_TERMS"": ""Net 14"", ""PO_NUM"": ""PO-9004"", ""BUS_UNIT"": ""Operations"", ""SITE"": ""Sydney""}",2024,2024-02,2024-Q1,False
154e011b-3527-4a30-8cc3-d330d5289da4,DEFAULT,4,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,INV-2024-005,INVOICE,2024-02-28,Telstra Business Systems,V-005,Mobile fleet - Feb 2024,4200.0,AUD,4200.0,AUD,1.0,6441,CC-IT-01,Net 30,30.0,PO-9005,Corporate,Melbourne,7a3a406d547e,Telstra Business Systems,1.0,,,IT,Telecommunications,Mobile Fleet,43,0.92,DETERMINISTIC_GL,,,,0,0,0,,,,,,"{""VENDOR_NAME"": ""Telstra Business Systems"", ""VENDOR_NUM"": ""V-005"", ""INV_NO"": ""INV-2024-005"", ""INV_DATE"": ""28/02/2024"", ""LINE_DESC"": ""Mobile fleet - Feb 2024"", ""AMT"": 4200.0, ""CCY"": ""AUD"", ""GL_CODE"": 6441, ""COST_CTR"": ""CC-IT-01"", ""PAY_TERMS"": ""Net 30"", ""PO_NUM"": ""PO-9005"", ""BUS_UNIT"": ""Corporate"", ""SITE"": ""Melbourne""}",2024,2024-02,2024-Q1,False
b161d82e-aaf0-4d7c-8a2a-f1774a325746,DEFAULT,5,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,INV-2024-006,INVOICE,2024-03-20,Creative Display Solutions,V-006,Ad hoc signage for conference,2500.0,AUD,2500.0,AUD,1.0,5600,CC-MKT-01,Net 30,30.0,PO-9006,Corporate,Sydney,9858a76c0cd6,Creative Display Solutions,1.0,,,Marketing,Advertising,,55,0.82,DETERMINISTIC_GL,,,,0,0,0,,,,,,"{""VENDOR_NAME"": ""Creative Display Solutions"", ""VENDOR_NUM"": ""V-006"", ""INV_NO"": ""INV-2024-006"", ""INV_DATE"": ""20/03/2024"", ""LINE_DESC"": ""Ad hoc signage for conference"", ""AMT"": 2500.0, ""CCY"": ""AUD"", ""GL_CODE"": 5600, ""COST_CTR"": ""CC-MKT-01"", ""PAY_TERMS"": ""Net 30"", ""PO_NUM"": ""PO-9006"", ""BUS_UNIT"": ""Corporate"", ""SITE"": ""Sydney""}",2024,2024-03,2024-Q1,True
20d6c155-9c34-49e5-8035-0cbdd23ade90,DEFAULT,6,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,INV-2024-007,INVOICE,2024-02-12,INTERCOMPANY - LEGAL,V-999,Legal services - internal,5000.0,AUD,5000.0,AUD,1.0,7800100,CC-LEG-01,Net 45,45.0,,Corporate,Sydney,30119c289bf3,Intercompany - Legal,1.0,,,Professional Services,Legal,,80,0.8,KEYWORD,,,,0,1,0,,,,,,"{""VENDOR_NAME"": ""INTERCOMPANY - LEGAL"", ""VENDOR_NUM"": ""V-999"", ""INV_NO"": ""INV-2024-007"", ""INV_DATE"": ""12/02/2024"", ""LINE_DESC"": ""Legal services - internal"", ""AMT"": 5000.0, ""CCY"": ""AUD"", ""GL_CODE"": 7800100, ""COST_CTR"": ""CC-LEG-01"", ""PAY_TERMS"": ""Net 45"", ""PO_NUM"": null, ""BUS_UNIT"": ""Corporate"", ""SITE"": ""Sydney""}",2024,2024-02,2024-Q1,False
5bfe177e-6c7a-4ad3-95a3-867b35c7ea2d,DEFAULT,7,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,TAX-ADJ-001,CREDIT_NOTE,2024-03-31,,V-TAX,Tax adjustment - GST,-125.0,AUD,-125.0,AUD,1.0,2100100,,,,,Corporate,Sydney,,,,,,,,,,0.679283857345581,EMBEDDING_REJECT,,,,1,0,1,,,,,,"{""VENDOR_NAME"": null, ""VENDOR_NUM"": ""V-TAX"", ""INV_NO"": ""TAX-ADJ-001"", ""INV_DATE"": ""31/03/2024"", ""LINE_DESC"": ""Tax adjustment - GST"", ""AMT"": -125.0, ""CCY"": ""AUD"", ""GL_CODE"": 2100100, ""COST_CTR"": null, ""PAY_TERMS"": null, ""PO_NUM"": null, ""BUS_UNIT"": ""Corporate"", ""SITE"": ""Sydney""}",2024,2024-03,2024-Q1,False
d779a10b-b5db-492f-89d5-b6dd98ffd75e,DEFAULT,8,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,INV-2024-008,INVOICE,2024-03-01,Microsoft Pty Ltd,V-007,Azure cloud subscription,6800.0,AUD,6800.0,AUD,1.0,6444,CC-IT-02,Net 30,30.0,PO-9007,Corporate,Melbourne,9fbf261b62c1,Microsoft Pty Ltd,1.0,,,IT,Cloud Services,,43,0.88,DETERMINISTIC_GL,,,,0,0,0,,,,,,"{""VENDOR_NAME"": ""Microsoft Pty Ltd"", ""VENDOR_NUM"": ""V-007"", ""INV_NO"": ""INV-2024-008"", ""INV_DATE"": ""01/03/2024"", ""LINE_DESC"": ""Azure cloud subscription"", ""AMT"": 6800.0, ""CCY"": ""AUD"", ""GL_CODE"": 6444, ""COST_CTR"": ""CC-IT-02"", ""PAY_TERMS"": ""Net 30"", ""PO_NUM"": ""PO-9007"", ""BUS_UNIT"": ""Corporate"", ""SITE"": ""Melbourne""}",2024,2024-03,2024-Q1,False
5e22c78d-870d-4341-98e5-aa78177723a1,DEFAULT,9,2026-04-09T22:37:50.234164,2026-04-09T22:37:50.234164,INV-2024-009,INVOICE,2024-03-15,KPMG Pty Ltd,V-008,Audit fees Q1,15000.0,AUD,15000.0,AUD,1.0,6602,CC-FIN-01,Net 30,30.0,PO-9008,Corporate,Sydney,344bff8b2788,Kpmg Pty Ltd,1.0,,,Professional Services,Audit and Accounting,,80,0.88,DETERMINISTIC_GL,,,,0,0,0,,,,,,"{""VENDOR_NAME"": ""KPMG Pty Ltd"", ""VENDOR_NUM"": ""V-008"", ""INV_NO"": ""INV-2024-009"", ""INV_DATE"": ""15/03/2024"", ""LINE_DESC"": ""Audit fees Q1"", ""AMT"": 15000.0, ""CCY"": ""AUD"", ""GL_CODE"": 6602, ""COST_CTR"": ""CC-FIN-01"", ""PAY_TERMS"": ""Net 30"", ""PO_NUM"": ""PO-9008"", ""BUS_UNIT"": ""Corporate"", ""SITE"": ""Sydney""}",2024,2024-03,2024-Q1,False
